product_id,name,brand,category,price,description,tags,stock_level,rating,is_waterproof,gender
PROD011,Speedcross 6,Salomon,trail shoes,109.99,Aggressive trail running shoe with deep Contagrip MA lugs for unbeatable traction on soft and muddy terrain. The SensiFit system and quicklace design lock the foot in place for technical descents. Built for serious off-road adventures.,trail|grip|mud|aggressive,70,4.8,True,men
PROD012,Sense Ride 5,Salomon,trail shoes,95.99,Versatile trail-to-road shoe with Optivibe vibration-reducing technology and Energy Surge cushioning. Contagrip outsole handles mixed terrain while the EnergyCell+ midsole delivers responsive toe-offs. Perfect for varied terrain runs.,trail|versatile|cushioned|grip,88,4.5,False,women
PROD013,Peregrine 14,Saucony,trail shoes,89.99,Nimble trail runner with PWRRUN cushioning and rock plate for protection on rugged terrain. The PWRTRAC outsole features multi-directional lugs for confident traction on dirt and gravel. Light enough for fast trail efforts.,trail|lightweight|grip|rock-plate,95,4.4,False,unisex
PROD014,Caldera 7,Brooks,trail shoes,119.99,Max-cushioned trail shoe with DNA LOFT v2 foam for plush comfort on ultra-distance runs. TrailTack rubber outsole grips roots and rocks with confidence. Ideal for runners tackling mountain trails and ultras.,trail|cushioned|ultra|grip,40,4.6,True,men
PROD015,Trabuco Max 3,ASICS,trail shoes,104.99,Rugged trail running shoe with FF BLAST PLUS cushioning and a generous rock plate for underfoot protection. The ASICSGRIP outsole features reversed lugs for reliable grip on wet rocks and loose dirt. Waterproof membrane keeps feet dry in stream crossings.,trail|waterproof|grip|cushioned,60,4.5,True,women
PROD016,Lone Peak 8,Altra,trail shoes,99.99,Zero-drop trail shoe with an anatomical foot-shaped toe box for natural toe splay. MaxTrac outsole with multi-directional lugs handles rocks and roots with ease. A cult favorite for thru-hikers and ultrarunners.,trail|zero-drop|wide-toe-box|grip,130,4.7,False,unisex
PROD017,Zinal 2,HOKA,trail shoes,114.99,Lightweight speed-oriented trail shoe with Profly midsole for responsive uphill performance. Vibram Megagrip outsole with Litebase construction grips technical terrain without added weight. Built for fast and light mountain running.,trail|lightweight|speed|grip,50,4.6,False,men
PROD018,Cascadia 18,Brooks,trail shoes,79.99,Durable trail shoe with BioMoGo DNA cushioning that adapts to your stride on every terrain. The TrailTack rubber outsole features deep lugs for traction on muddy and rocky trails. Integrated pivot post system for smooth gait.,trail|durable|grip|cushioned,100,4.3,True,women
PROD019,Terrex Speed Ultra,Adidas,trail shoes,134.99,Race-ready trail shoe with Lightstrike Pro cushioning for explosive speed on technical mountain terrain. Continental rubber outsole delivers tenacious grip on wet and dry rock surfaces. The Primegreen upper uses recycled materials.,trail|speed|grip|lightweight,35,4.5,False,men
PROD020,Fresh Foam Hierro v8,New Balance,trail shoes,94.99,Cushioned trail shoe with Fresh Foam X midsole for plush comfort on long trail runs. Vibram outsole with multidirectional lugs provides sure-footed grip on varied terrain. The HypoSkin upper drains water quickly.,trail|cushioned|grip|comfort,80,4.4,True,unisex
PROD021,Moab 3 Mid WP,Merrell,hiking boots,109.99,Classic mid-cut hiking boot with Merrell Air Cushion heel for shock absorption on rough trails. The waterproof membrane keeps feet dry in puddles and light rain while Vibram TC5+ rubber outsole provides reliable grip. A best-selling boot for day hikes and weekend backpacking.,waterproof|hiking|mid-cut|grip,140,4.6,True,men
PROD022,Targhee IV WP,KEEN,hiking boots,119.99,Supportive waterproof hiking boot with KEEN.DRY membrane and aggressive multi-directional lugs. The metatomical foot bed provides excellent arch support for all-day comfort on the trail. Available in wide widths for a roomier fit.,waterproof|hiking|supportive|wide,95,4.5,True,women
PROD023,X Ultra 4 Mid GTX,Salomon,hiking boots,149.99,Lightweight mid-cut hiking boot with GORE-TEX waterproofing and Advanced Chassis for stability on uneven terrain. The Contagrip MA outsole grips loose gravel and wet rock with confidence. Designed for fast and light hikers.,waterproof|hiking|lightweight|stable,65,4.7,True,men
PROD024,Siren 4 Mid WP,Merrell,hiking boots,99.99,Women-specific waterproof hiking boot built on a women's last for superior fit and comfort. Features Merrell Quantum Grip outsole for traction and a bellows tongue to keep debris out. FlexConnect dual-directional flex for stability.,waterproof|hiking|women-specific|grip,110,4.4,True,women
PROD025,Kaha 2 GTX,HOKA,hiking boots,229.99,Premium cushioned hiking boot with GORE-TEX waterproofing and HOKA's signature oversized midsole. Vibram Megagrip outsole handles rocky and muddy terrain while the extended heel provides downhill stability. Feels like walking on clouds.,waterproof|hiking|cushioned|premium,30,4.8,True,unisex
PROD026,Quest 4 GTX,Salomon,hiking boots,159.99,Rugged backpacking boot with GORE-TEX waterproofing and 4D Advanced Chassis for ankle stability under heavy loads. The Contagrip outsole features deep lugs for aggressive traction on steep terrain. Built for multi-day treks.,waterproof|hiking|backpacking|stable,50,4.6,True,men
PROD027,Newton Ridge Plus II WP,Columbia,hiking boots,74.99,Affordable waterproof hiking boot with full-grain leather upper and seam-sealed construction. The Techlite lightweight midsole provides cushioning and Omni-Grip rubber outsole handles varied terrain. Great value for occasional hikers.,waterproof|hiking|leather|value,180,4.3,True,women
PROD028,Crestwood Mid WP,Columbia,hiking boots,64.99,Entry-level waterproof hiking boot with mesh and suede upper for breathability and durability. The Techlite midsole absorbs impact while Omni-Grip traction keeps you steady. Perfect for beginners hitting the trails.,waterproof|hiking|value|breathable,160,4.2,True,unisex
PROD029,Anacapa Mid GTX,HOKA,hiking boots,184.99,Modern hiking boot with HOKA cushioning technology and GORE-TEX waterproofing for all-day trail comfort. Features a Vibram Megagrip outsole with aggressive lug pattern and a gusseted tongue to keep out debris. Ideal for long approaches and technical day hikes.,waterproof|hiking|cushioned|modern,45,4.7,True,men
PROD030,Danner Trail 2650 GTX,Danner,hiking boots,169.99,Trail shoe meets hiking boot hybrid with GORE-TEX waterproof lining and Vibram 460 outsole with Megagrip. The OrthoLite footbed and Trailguard platform provide comfort and stability. Built in Portland with premium materials.,waterproof|hiking|hybrid|premium,55,4.6,True,women
PROD031,Torrentshell 3L,Patagonia,rain jackets,99.99,Versatile 3-layer rain jacket with H2No Performance Standard waterproofing and a DWR finish. Features a microfleece-lined neck for comfort and fully adjustable hood. Packs into its own chest pocket for easy storage.,waterproof|breathable|packable|3-layer,90,4.6,True,men
PROD032,Precip Eco,Marmot,rain jackets,69.99,Eco-friendly rain jacket made with recycled materials and NanoPro waterproof breathable technology. Features pit zips for ventilation and an adjustable hood that rolls into the collar. Lightweight enough for everyday carry.,waterproof|breathable|eco-friendly|lightweight,120,4.4,True,women
PROD033,Beta LT,Arc'teryx,rain jackets,249.0,Premium ultralight rain shell with GORE-TEX waterproofing and articulated patterning for full range of motion. The StormHood provides complete weather coverage with helmet-compatible volume. Minimalist design for alpine adventures.,waterproof|breathable|ultralight|alpine,25,4.9,True,men
PROD034,Venture 2,The North Face,rain jackets,59.99,Budget-friendly rain jacket with DryVent 2.5L technology for reliable waterproof protection. Features zippered hand pockets and a stowable hood for quick changes in weather. Ideal for hiking and everyday rain protection.,waterproof|breathable|value|packable,150,4.3,True,women
PROD035,Watertight II,Columbia,rain jackets,49.99,Affordable rain jacket with Omni-Tech waterproof breathable technology and fully sealed seams. The attached adjustable hood and zippered hand pockets provide essential rain protection. A great starter jacket for outdoor activities.,waterproof|breathable|value|sealed-seams,170,4.2,True,unisex
PROD036,Minimalist,Marmot,rain jackets,109.99,Lightweight GORE-TEX Paclite rain jacket designed for serious hikers and backpackers. Features fully taped seams and Angel-Wing Movement articulation for unrestricted motion. Weighs only 11.5 oz and packs down small.,waterproof|breathable|lightweight|GORE-TEX,60,4.7,True,men
PROD037,Rainfoil Eco,REI Co-op,rain jackets,79.99,Sustainable rain jacket made with recycled polyester and PFC-free DWR coating. Two-layer construction provides reliable waterproof protection with good breathability. Adjustable hood and cuffs for a customized fit.,waterproof|breathable|eco-friendly|sustainable,85,4.5,True,women
PROD038,Cloud Cap,REI Co-op,rain jackets,54.99,Lightweight and packable rain jacket with 2.5-layer waterproof breathable construction. Rolls into its own pocket for easy packing and weighs only 8.5 oz. Perfect as an emergency layer in your day pack.,waterproof|packable|lightweight|breathable,130,4.3,True,unisex
PROD039,Helium Rain Jacket,Outdoor Research,rain jackets,89.99,Ultralight waterproof shell with Pertex Shield fabric weighing just 6.4 oz. Features a single chest pocket that doubles as a stuff sack and elastic cuffs. Designed for weight-conscious hikers and runners.,waterproof|ultralight|packable|breathable,70,4.6,True,men
PROD040,StormLine Stretch,Black Diamond,rain jackets,74.99,Stretchy waterproof rain jacket with BD.dry 2.5L technology for freedom of movement during active pursuits. Features a low-profile climbing helmet-compatible hood and YKK water-resistant zippers. Great for climbing and hiking.,waterproof|breathable|stretchy|active,55,4.4,True,women
PROD041,Strider Pro 5in,Patagonia,trail shorts,59.99,Lightweight trail running shorts with built-in liner and moisture-wicking fabric for cool comfort. Features a stretchy waistband with internal drawcord and a zippered back pocket. Made with Fair Trade Certified recycled polyester.,lightweight|quick-dry|liner|trail,95,4.6,False,men
PROD042,Active Trail Short,The North Face,trail shorts,44.99,Durable trail shorts with FlashDry moisture management and four-way stretch fabric. Features a secure zippered pocket and UPF 50 sun protection. Designed for hiking and trail running in warm weather.,quick-dry|stretch|UPF|trail,110,4.4,False,women
PROD043,Quandary Short 8in,Patagonia,trail shorts,49.99,Versatile hiking shorts made with stretchy organic cotton and spandex blend for all-day comfort. Features a clean chino-style look that transitions from trail to town. DWR finish repels light rain and spills.,stretch|hiking|versatile|DWR,80,4.5,False,men
PROD044,Zendo Shorts,Prana,trail shorts,39.99,Relaxed-fit trail shorts with stretch Zion fabric for unrestricted movement on the trail. Features a quick-drying construction and ventilated inseam gusset. Perfect for bouldering and casual hiking.,stretch|quick-dry|climbing|trail,70,4.3,False,women
PROD045,Method Short 5in,Vuori,trail shorts,54.99,Premium performance shorts with moisture-wicking DreamKnit fabric and four-way stretch. Features an internal drawcord waistband and a zippered side pocket. Versatile enough for trail runs and gym sessions.,lightweight|stretch|moisture-wicking|versatile,65,4.5,False,men
PROD046,Multi Trail Short,REI Co-op,trail shorts,34.99,Budget-friendly trail shorts with bluesign-approved stretch fabric and moisture-wicking performance. Features a gusseted crotch for mobility and UPF 50+ sun protection. Great value for hikers on a budget.,quick-dry|stretch|UPF|value,140,4.2,False,unisex
PROD047,Endless Run 5in,Salomon,trail shorts,49.99,Lightweight trail running shorts with AdvancedSkin ActiveDry fabric for rapid moisture management. Features a stretch waistband with multiple gel-flask-compatible pockets. Built for long mountain runs.,lightweight|quick-dry|trail|pockets,55,4.6,False,men
PROD048,Happy Hike Shorts,Patagonia,trail shorts,45.99,Durable hiking shorts made from recycled nylon with a DWR finish for light rain protection. Four-way stretch fabric moves with you on steep approaches and scrambles. Built to last with Fair Trade certification.,stretch|DWR|hiking|durable,90,4.4,False,women
PROD049,Saturday Trail Short,Columbia,trail shorts,29.99,Classic hiking shorts with Omni-Shade UPF 50 sun protection and Omni-Wick moisture management. Features a partial elastic waistband for a comfortable fit and zip-close security pocket. An excellent value for trail days.,quick-dry|UPF|hiking|value,160,4.1,False,women
PROD050,Terrain Trail Short,Under Armour,trail shorts,39.99,Rugged trail shorts with UA Storm water-repellent finish and four-way stretch construction. Features a secure zip pocket and anti-odor technology for multi-day adventures. Abrasion-resistant fabric handles bushwhacking.,water-repellent|stretch|durable|trail,100,4.3,False,men
PROD051,Talon 22,Osprey,backpacks,109.99,Versatile day hiking pack with AirScape back panel for ventilated comfort on warm-weather hikes. Features a scratch-free phone pocket and dual-access stretch side pockets. The hipbelt and sternum strap distribute weight for all-day carrying comfort.,lightweight|hiking|ventilated|day-pack,75,4.7,False,unisex
PROD052,Trail 25,REI Co-op,backpacks,54.99,Well-organized day pack with multiple pockets and a hydration-compatible design for trail adventures. Features a breathable back panel and padded shoulder straps for comfortable carrying. Made with recycled materials.,hiking|day-pack|hydration|value,120,4.4,False,unisex
PROD053,Stratos 24,Osprey,backpacks,119.99,Premium ventilated day pack with Anti-Gravity suspension for superior load transfer on long hikes. Features an integrated rain cover and multiple compression straps for a stable carry. Internal hydration sleeve fits up to 3L reservoir.,ventilated|hiking|rain-cover|day-pack,50,4.8,False,men
PROD054,Flash 22,REI Co-op,backpacks,39.99,Ultralight packable day pack that stuffs into its own pocket for travel and emergency use. Features padded shoulder straps and a front stretch pocket for quick access. Weighs only 10 oz but carries 22 liters.,ultralight|packable|day-pack|travel,95,4.3,False,unisex
PROD055,Manta 24,Osprey,backpacks,134.99,Hydration-focused day pack with built-in 2.5L Hydraulics reservoir and magnetic bite valve. AirSpeed ventilated back panel keeps you cool on steep climbs. Multiple pockets organize gear efficiently for long day hikes.,hydration|ventilated|hiking|day-pack,40,4.6,False,men
PROD056,Tempest 20,Osprey,backpacks,99.99,Women-specific day pack with AirScape back panel and seamless continuous wrap hipbelt for comfort. Features a scratch-free front panel pocket and Stow-on-the-Go trekking pole attachment. Designed for fast and light day hikes.,lightweight|women-specific|day-pack|ventilated,85,4.7,False,women
PROD057,Borealis,The North Face,backpacks,89.99,Urban-meets-trail backpack with FlexVent suspension system and a dedicated laptop compartment. Features reflective bike-light loop and external bungee cord for stashing extra layers. Versatile for commuting and weekend hikes.,versatile|laptop|urban|trail,130,4.5,False,unisex
PROD058,Terra 55,The North Face,backpacks,169.99,Multi-day backpacking pack with OPTIFIT adjustable suspension for a customized fit under heavy loads. Features a sleeping bag compartment and rain cover. Internal frame distributes weight efficiently for long trail days.,backpacking|multi-day|rain-cover|adjustable,35,4.5,False,unisex
PROD059,Skimmer 20,Osprey,backpacks,89.99,Women-specific hydration day pack with built-in 2.5L reservoir and BioStretch harness. Features a scratch-free phone pocket and removable raincover. The AirScape back panel provides ventilation on warm trail days.,hydration|women-specific|day-pack|lightweight,60,4.6,False,women
PROD060,Rook 50,Osprey,backpacks,149.99,Budget-friendly backpacking pack with AirSpeed ventilated trampoline back panel for comfortable carrying. Features Stow-on-the-Go trekking pole attachment and sleeping bag compartment. Adjustable torso length for a customized fit.,backpacking|ventilated|adjustable|value,45,4.4,False,men
PROD061,Wide Mouth 32oz,Hydro Flask,water bottles,44.99,Double-wall vacuum insulated stainless steel water bottle that keeps drinks cold for 24 hours or hot for 12. The wide mouth opening accommodates ice cubes and makes cleaning easy. BPA-free and dishwasher safe.,insulated|stainless-steel|BPA-free|cold-24h,150,4.7,False,unisex
PROD062,Chute Mag 25oz,CamelBak,water bottles,16.99,Lightweight water bottle with magnetic cap that stows securely while you drink. The universal cap fits most hydration accessories and the wide mouth makes ice loading easy. Made with BPA-free Tritan Renew recycled plastic.,lightweight|magnetic-cap|BPA-free|eco-friendly,180,4.4,False,unisex
PROD063,Podium Chill 21oz,CamelBak,water bottles,18.99,Insulated cycling and sports bottle with self-sealing Jet Valve for mess-free hydration. The double-wall construction keeps water cold twice as long as standard bottles. Lockout lever prevents leaks in bags.,insulated|self-sealing|sport|BPA-free,130,4.5,False,unisex
PROD064,Standard Mouth 21oz,Hydro Flask,water bottles,34.99,Sleek vacuum insulated bottle with standard mouth opening perfect for sipping on the go. TempShield insulation keeps beverages cold 24 hours or hot 12 hours. Comes with a flex cap for easy carrying.,insulated|stainless-steel|portable|durable,110,4.6,False,unisex
PROD065,Quick Stow Flask 17oz,Salomon,water bottles,15.99,Collapsible soft flask designed for trail running vests and hydration packs. The high-flow valve delivers water without slowing your pace and the soft material is easy to squeeze. Weighs only 1.4 oz when empty.,lightweight|collapsible|trail|soft-flask,90,4.3,False,unisex
PROD066,Ultralight Water Purifier,Grayl,water bottles,69.99,"All-in-one water purifier bottle that removes viruses, bacteria, and sediment in just 15 seconds. The one-press design works like a French press for clean water anywhere. Perfect for backcountry hiking and international travel.",purifier|lightweight|backcountry|travel,50,4.7,False,unisex
PROD067,Trail Series 22oz,REI Co-op,water bottles,12.99,Durable BPA-free water bottle with a flip-top lid and measurement markings for tracking hydration. The wide mouth fits most water filters and the loop handle clips to packs. An excellent value for everyday trail use.,BPA-free|lightweight|value|durable,200,4.2,False,unisex
PROD068,Wide Mouth 40oz,Hydro Flask,water bottles,49.99,Extra-large vacuum insulated bottle for all-day hydration on long hikes and road trips. Keeps water ice-cold for 24 hours even in summer heat. The powder-coated finish provides a secure grip.,insulated|stainless-steel|large|cold-24h,80,4.8,False,unisex
PROD069,LifeStraw Go 22oz,LifeStraw,water bottles,39.99,Integrated water filter bottle with activated carbon and membrane microfilter for clean water on the trail. Removes bacteria and parasites while reducing chlorine and organic chemicals. Perfect for hiking near uncertain water sources.,filter|BPA-free|trail|portable,65,4.5,False,unisex
PROD070,Eddy+ 25oz,CamelBak,water bottles,17.99,Leak-proof water bottle with a flip-and-bite valve for one-handed hydration while hiking. The BPA-free Tritan plastic is impact-resistant and dishwasher safe. Carry loop makes it easy to clip to your pack.,BPA-free|leak-proof|lightweight|durable,140,4.4,False,unisex
PROD071,Spot 400,Black Diamond,headlamps,39.99,Versatile rechargeable headlamp with 400 lumens and multiple lighting modes including red night vision. Features PowerTap technology for instant brightness adjustment and IPX67 waterproof rating. Weighs only 2.8 oz with long battery life.,rechargeable|waterproof|bright|lightweight,110,4.6,True,unisex
PROD072,Actik Core,Petzl,headlamps,44.99,Multi-beam rechargeable headlamp with 600 lumens and CORE rechargeable battery. Features proximity and distance lighting modes with red light for preserving night vision. Reflective headband for visibility on night runs.,rechargeable|multi-beam|bright|reflective,85,4.7,True,unisex
PROD073,Swift RL,Petzl,headlamps,79.99,High-performance reactive headlamp with 1100 lumens and REACTIVE LIGHTING technology that auto-adjusts brightness. USB rechargeable with a 2350 mAh battery for extended use. Comfortable and stable even during trail running.,rechargeable|reactive|ultra-bright|trail,50,4.8,True,unisex
PROD074,Cosmo 350,Black Diamond,headlamps,29.99,Reliable battery-powered headlamp with 350 lumens and proximity and distance modes. Features a dimming function and red night vision mode with strobe setting. IPX67 waterproof and takes 3 AAA batteries.,waterproof|compact|value|multi-mode,150,4.4,True,unisex
PROD075,Bindi,Petzl,headlamps,49.99,Ultra-compact USB-rechargeable headlamp with 200 lumens in an incredibly lightweight 35-gram package. Thin adjustable headband and phosphorescent reflector for visibility. Ideal for trail running and emergency preparedness.,ultralight|rechargeable|compact|trail,60,4.5,True,unisex
PROD076,Sprinter 500,Black Diamond,headlamps,59.99,Trail running specific headlamp with 500 lumens and both flood and spot beam patterns. Features a removable rechargeable battery pack worn on the back of the head for balanced weight. IPX67 waterproof with red taillight for road visibility.,rechargeable|trail-running|waterproof|bright,40,4.6,True,unisex
PROD077,Icon 700,Black Diamond,headlamps,49.99,Heavy-duty headlamp with 700 lumens output and multiple beam settings for versatile use. Features a triple power LED and night vision mode with PowerTap brightness control. Runs on 4 AA batteries for extended backcountry trips.,bright|durable|multi-mode|backcountry,75,4.3,True,unisex
PROD078,Storm 500-R,Black Diamond,headlamps,54.99,Waterproof rechargeable headlamp with 500 lumens and IPX67 protection for extreme conditions. Features proximity and distance modes with red and green night vision settings. Dust-proof and submersible construction.,waterproof|rechargeable|bright|rugged,65,4.5,True,unisex
PROD079,NU25 UL,Nitecore,headlamps,35.99,Ultralight rechargeable headlamp weighing only 28 grams with 400 lumens output. Features a low-profile design with white and red LEDs. USB-C rechargeable with remaining battery indicator.,ultralight|rechargeable|USB-C|compact,90,4.6,True,unisex
PROD080,Tikka Core,Petzl,headlamps,34.99,Simple and reliable rechargeable headlamp with 450 lumens and CORE battery compatibility. Features a phosphorescent reflector for finding the lamp in the dark and a multi-beam design. IPX67 waterproof and extremely durable.,rechargeable|waterproof|reliable|multi-beam,100,4.4,True,unisex
